OID_,Value,Count,Clip_OutRaster_LC16_BPS_200_tif,Clip_OutRaster_LC16_SCla_200_tif,BPS_MODEL,BPS_NAME,LABEL
1,1,35747.000000000000000,-9999,-9999,NA,NoData,NoData
2,2,4575265.000000000000000,11,111,NA,Open Water,Water
3,3,181603.000000000000000,31,132,NA,Barren-Rock/Sand/Clay,Barren or Sparse
4,4,10216.000000000000000,779,7,11310_2_3_4,California Northern Coastal Grassland,UE
5,5,160154.000000000000000,771,7,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,UE
6,6,10213.000000000000000,771,132,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Barren or Sparse
7,7,489.000000000000000,779,132,11310_2_3_4,California Northern Coastal Grassland,Barren or Sparse
8,8,29397.000000000000000,779,3,11310_2_3_4,California Northern Coastal Grassland,C
9,9,16672.000000000000000,783,2,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,B
10,10,1355835.000000000000000,781,3,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,C
11,11,334780.000000000000000,781,1,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,A
12,12,452055.000000000000000,771,3,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,C
13,13,220435.000000000000000,781,120,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Urban
14,14,19805.000000000000000,779,120,11310_2_3_4,California Northern Coastal Grassland,Urban
15,15,1773.000000000000000,778,120,11280_2_3_4,Northern California Coastal Scrub,Urban
16,16,411066.000000000000000,771,120,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Urban
17,17,64073.000000000000000,771,4,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,D
18,18,491469.000000000000000,771,5,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,E
19,19,2026921.000000000000000,771,2,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,B
20,20,457067.000000000000000,770,120,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Urban
21,21,109295.000000000000000,770,7,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,UE
22,22,373539.000000000000000,771,1,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,A
23,23,673.000000000000000,778,7,11280_2_3_4,Northern California Coastal Scrub,UE
24,24,58178.000000000000000,781,7,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,UE
25,25,18617.000000000000000,779,2,11310_2_3_4,California Northern Coastal Grassland,B
26,26,13344.000000000000000,779,1,11310_2_3_4,California Northern Coastal Grassland,A
27,27,21861.000000000000000,782,120,11570_1_2,North Pacific Swamp Systems,Urban
28,28,75373.000000000000000,782,2,11570_1_2,North Pacific Swamp Systems,B
29,29,77998.000000000000000,782,3,11570_1_2,North Pacific Swamp Systems,C
30,30,14890.000000000000000,782,7,11570_1_2,North Pacific Swamp Systems,UE
31,31,7774.000000000000000,783,120,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Urban
32,32,24722.000000000000000,779,6,11310_2_3_4,California Northern Coastal Grassland,UN
33,33,110.000000000000000,783,132,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Barren or Sparse
34,34,357449.000000000000000,770,5,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,E
35,35,3198.000000000000000,408,132,10020,Mediterranean California Sparsely Vegetated Systems,Barren or Sparse
36,36,776082.000000000000000,770,2,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,B
37,37,110696.000000000000000,770,3,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,C
38,38,51282.000000000000000,771,180,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Agriculture
39,39,758214.000000000000000,781,180,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Agriculture
40,40,64445.000000000000000,782,1,11570_1_2,North Pacific Swamp Systems,A
41,41,610631.000000000000000,773,1,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,A
42,42,2231819.000000000000000,773,3,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,C
43,43,324055.000000000000000,773,180,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Agriculture
44,44,357.000000000000000,781,132,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Barren or Sparse
45,45,2013.000000000000000,773,132,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Barren or Sparse
46,46,550.000000000000000,782,132,11570_1_2,North Pacific Swamp Systems,Barren or Sparse
47,47,1281.000000000000000,778,3,11280_2_3_4,Northern California Coastal Scrub,C
48,48,281.000000000000000,778,2,11280_2_3_4,Northern California Coastal Scrub,B
49,49,204.000000000000000,778,1,11280_2_3_4,Northern California Coastal Scrub,A
50,50,6870466.000000000000000,773,2,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,B
51,51,101216.000000000000000,770,1,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,A
52,52,591612.000000000000000,773,120,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Urban
53,53,1574346.000000000000000,772,5,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,E
