"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","value","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"10080_1_2_3_7_A","10080_1_2_3_7","A",9,"North Pacific Oak Woodland","Early1:ALL","Early1","ALL",101,113151,3444613,766063,68946,25164,3
"10080_1_2_3_7_B","10080_1_2_3_7","B",5,"North Pacific Oak Woodland","Mid1:CLS","Mid1","CLS",90,1056893,3444613,766063,38303,235047,31
"10080_1_2_3_7_C","10080_1_2_3_7","C",86,"North Pacific Oak Woodland","Mid1:OPN","Mid1","OPN",106,130044,3444613,766063,658814,28921,4
"10080_1_2_3_7_D","10080_1_2_3_7","D",NA,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,3444613,766063,NA,NA,NA
"10080_1_2_3_7_E","10080_1_2_3_7","E",NA,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,3444613,766063,NA,NA,NA
"10080_1_2_3_7_Agriculture","10080_1_2_3_7","Agriculture",0,"North Pacific Oak Woodland",NA,NA,NA,104,1392623,3444613,766063,0,309712,40
"10080_1_2_3_7_Urban","10080_1_2_3_7","Urban",0,"North Pacific Oak Woodland",NA,NA,NA,102,525268,3444613,766063,0,116817,15
"10080_1_2_3_7_Water","10080_1_2_3_7","Water",0,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,3444613,766063,0,NA,NA
"10080_1_2_3_7_UN","10080_1_2_3_7","UN",0,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,3444613,766063,0,NA,NA
"10080_1_2_3_7_UE","10080_1_2_3_7","UE",0,"North Pacific Oak Woodland",NA,NA,NA,96,224298,3444613,766063,0,49883,7
"10150_2_3_4_A","10150_2_3_4","A",1,"California Coastal Redwood Forest","Early1:ALL","Early1","ALL",227,3614,42789,9516,95,804,8
"10150_2_3_4_B","10150_2_3_4","B",7,"California Coastal Redwood Forest","Mid1:CLS","Mid1","CLS",224,21769,42789,9516,666,4841,51
"10150_2_3_4_C","10150_2_3_4","C",92,"California Coastal Redwood Forest","Late1:CLS","Late1","CLS",204,7854,42789,9516,8755,1747,18
"10150_2_3_4_D","10150_2_3_4","D",NA,"California Coastal Redwood Forest",NA,NA,NA,NA,NA,42789,9516,NA,NA,NA
"10150_2_3_4_E","10150_2_3_4","E",NA,"California Coastal Redwood Forest",NA,NA,NA,NA,NA,42789,9516,NA,NA,NA
"10150_2_3_4_Agriculture","10150_2_3_4","Agriculture",0,"California Coastal Redwood Forest",NA,NA,NA,231,1034,42789,9516,0,230,2
"10150_2_3_4_Urban","10150_2_3_4","Urban",0,"California Coastal Redwood Forest",NA,NA,NA,226,4918,42789,9516,0,1094,11
"10150_2_3_4_Water","10150_2_3_4","Water",0,"California Coastal Redwood Forest",NA,NA,NA,NA,NA,42789,9516,0,NA,NA
"10150_2_3_4_UN","10150_2_3_4","UN",0,"California Coastal Redwood Forest",NA,NA,NA,228,811,42789,9516,0,180,2
"10150_2_3_4_UE","10150_2_3_4","UE",0,"California Coastal Redwood Forest",NA,NA,NA,229,2738,42789,9516,0,609,6
"10210_2_3_6_7_A","10210_2_3_6_7","A",19,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Early1:ALL","Early1","ALL",163,282382,951332,211571,40198,62800,30
"10210_2_3_6_7_B","10210_2_3_6_7","B",1,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Mid1:CLS","Mid1","CLS",113,194831,951332,211571,2116,43329,20
"10210_2_3_6_7_C","10210_2_3_6_7","C",24,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Mid1:OPN","Mid1","OPN",142,251476,951332,211571,50777,55927,26
"10210_2_3_6_7_D","10210_2_3_6_7","D",53,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Late1:OPN","Late1","OPN",192,22233,951332,211571,112133,4944,2
"10210_2_3_6_7_E","10210_2_3_6_7","E",3,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Late1:CLS","Late1","CLS",195,159072,951332,211571,6347,35377,17
"10210_2_3_6_7_Agriculture","10210_2_3_6_7","Agriculture",0,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,194,1536,951332,211571,0,342,0
"10210_2_3_6_7_Urban","10210_2_3_6_7","Urban",0,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,166,24505,951332,211571,0,5450,3
"10210_2_3_6_7_Water","10210_2_3_6_7","Water",0,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,NA,NA,951332,211571,0,NA,NA
"10210_2_3_6_7_UN","10210_2_3_6_7","UN",0,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,NA,NA,951332,211571,0,NA,NA
"10210_2_3_6_7_UE","10210_2_3_6_7","UE",0,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,193,13413,951332,211571,0,2983,1
"10220_2_3_6_7_A","10220_2_3_6_7","A",18,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Early1:ALL","Early1","ALL",93,150039,295225,65656,11818,33368,51
"10220_2_3_6_7_B","10220_2_3_6_7","B",2,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Mid1:CLS","Mid1","CLS",87,30893,295225,65656,1313,6870,10
"10220_2_3_6_7_C","10220_2_3_6_7","C",23,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Mid1:OPN","Mid1","OPN",92,71889,295225,65656,15101,15988,24
"10220_2_3_6_7_D","10220_2_3_6_7","D",54,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Late1:OPN","Late1","OPN",190,3668,295225,65656,35454,816,1
"10220_2_3_6_7_E","10220_2_3_6_7","E",3,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Late1:CLS","Late1","CLS",161,29510,295225,65656,1970,6563,10
"10220_2_3_6_7_Agriculture","10220_2_3_6_7","Agriculture",0,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,164,14,295225,65656,0,3,0
"10220_2_3_6_7_Urban","10220_2_3_6_7","Urban",0,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,111,7029,295225,65656,0,1563,2
"10220_2_3_6_7_Water","10220_2_3_6_7","Water",0,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,NA,NA,295225,65656,0,NA,NA
"10220_2_3_6_7_UN","10220_2_3_6_7","UN",0,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,NA,NA,295225,65656,0,NA,NA
"10220_2_3_6_7_UE","10220_2_3_6_7","UE",0,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,94,1112,295225,65656,0,247,0
"10270_2_3_7_A","10270_2_3_7","A",11,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Early1:ALL","Early1","ALL",180,196068,3105749,690701,75977,43604,6
"10270_2_3_7_B","10270_2_3_7","B",4,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Mid1:CLS","Mid1","CLS",178,1323686,3105749,690701,27628,294380,43
"10270_2_3_7_C","10270_2_3_7","C",8,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Mid1:OPN","Mid1","OPN",179,119074,3105749,690701,55256,26481,4
"10270_2_3_7_D","10270_2_3_7","D",63,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Late1:OPN","Late1","OPN",183,4014,3105749,690701,435142,893,0
